id,task_id,task_name,field_changed,old_value,new_value,changed_by,changed_at
1,1,Design homepage mockup,Created,,Task created,Alice,2026-03-01 10:00:00
2,1,Design homepage mockup,Status,Not Started,In Progress,Alice,2026-03-02 14:30:00
3,1,Design homepage mockup,Status,In Progress,Completed,Bob,2026-03-03 09:15:00
4,2,Implement header navigation,Created,,Task created,Bob,2026-03-03 11:00:00
5,2,Implement header navigation,Assignee,,Alice,Bob,2026-03-04 16:00:00
6,6,Implement user authentication,Created,,Task created,Bob,2026-03-07 08:00:00
7,6,Implement user authentication,Notes,,Using JWT tokens,Bob,2026-03-08 10:30:00
8,1,Design homepage mockup,Notes,Initial mockups completed successfully,Initial mockups completed successfully....,ABc,2026-03-14 22:12:17
9,1,Design homepage mockup,Status,Completed,In Progress,,2026-03-14 22:13:01
10,1,Design homepage mockup,Notes,Initial mockups completed successfully....,Initial mockups completed successfully.... waiting for more...,,2026-03-14 22:13:01
11,1,Design homepage mockup,Notes,Initial mockups completed successfully.... waiting for more...,Initial mockups completed successfully.... waiting for more... one more,,2026-03-14 22:13:36
